Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0402,9,100nF,
C10,0603,1,1uF,
C11,0603,1,10uF,
"C12, C13",0402,2,12pF,
"C14, C15",0402,2,15pF,
CARD1,TF-SMD_THD2528-11SD-GF,1,THD2528-11SD-GF,C283232
D1,0805,1,0805 GREEN,
D2,0805,1,0805 RED,
D3,0805,1,0805 ORANGE,
FB1,0402,1,600ohm@100MHz,
J3,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
"J6, J8",PinSocket_2x25_P2.54mm_Vertical,2,Conn_01x50_MountingPin,
J7,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"R1, R10, R11, R12, R2, R5, R6, R8, R9",0402,9,10k,
"R3, R4, R7",0402,3,330,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
U1,TQFP-100_14x14mm_P0.5mm,1,ATSAME54N20A-AU,
U2,SOT-223-3_TabPin2,1,TPS7A0533PDBZ,
U3,SOIJ-8_L5.3-W5.3-P1.27-LS7.9-BL,1,SST26VF064Bxx-xxxx-MF,C638561
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,1,MCP2542FDxMF,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
