Designator,Mid X,Mid Y,Rotation,Layer
C1,140.59,-76.97,180.0,top
C10,155.25,-86.3,225.0,top
C11,136.61,-58.9475,90.0,top
C12,144.68,-78.26,0.0,top
C13,143.59,-82.61,0.0,top
C14,141.5975,-106.5275,0.0,top
C15,141.5575,-108.5275,0.0,top
C2,154.92,-76.97,180.0,top
C3,136.95,-93.45,45.0,top
C4,141.73,-101.72,45.0,top
C5,138.57,-98.5,45.0,top
C6,155.87,-101.72,135.0,top
C7,159.67,-90.86,225.0,top
C8,154.25,-85.2,225.0,top
C9,151.4,-105.75,135.0,top
CARD1,140.74,-58.79,180.0,bottom
D1,139.54,-113.78,270.0,top
D2,147.37,-113.77,270.0,top
D3,143.44,-113.79,270.0,top
FB1,141.37,-86.85,0.0,top
J3,156.42,-53.23,180.0,top
J6,127.93,-93.02,0.0,top
J7,143.11,-122.27,270.0,top
J8,166.06,-93.08,0.0,top
R1,140.58,-69.74,180.0,top
R10,140.56,-66.8,90.0,bottom
R11,141.84,-66.84,90.0,bottom
R12,143.08,-66.755,90.0,bottom
R2,154.945,-69.745,0.0,top
R3,145.49,-113.78,270.0,top
R4,137.65,-113.85,270.0,top
R5,160.705,-59.815,0.0,top
R6,152.65,-58.7,180.0,top
R7,141.48,-113.79,90.0,top
R8,135.18,-66.76,90.0,bottom
R9,136.47,-66.765,90.0,bottom
SW1,140.56,-73.375,90.0,top
SW2,154.905,-73.365,90.0,top
U1,148.46,-94.23,225.0,top
U2,141.1525,-60.44,90.0,top
U3,135.0675,-105.88,0.0,bottom
U4,153.96,-115.53,90.0,top
Y1,144.51,-107.53,0.0,top
Y2,144.83,-80.13,180.0,top
